Title,Genre,PublicationYear
Pride and Prejudice,Romance,1813
Sense and Sensibility,Romance,1811
Emma,Romance,1815
Mansfield Park,Romance,1814
Persuasion,Romance,1817
Romeo and Juliet,Tragedy,1597
Hamlet,Tragedy,1603
Macbeth,Tragedy,1606
Othello,Tragedy,1604
A Midsummer Night's Dream,Comedy,1600
Murder on the Orient Express,Mystery,1934
Death on the Nile,Mystery,1937
The Murder of Roger Ackroyd,Mystery,1926
And Then There Were None,Mystery,1939
The ABC Murders,Mystery,1936
Harry Potter and the Sorcerer's Stone,Fantasy,1997
Harry Potter and the Chamber of Secrets,Fantasy,1998
Harry Potter and the Prisoner of Azkaban,Fantasy,1999
Harry Potter and the Goblet of Fire,Fantasy,2000
Harry Potter and the Order of the Phoenix,Fantasy,2003
1984,Dystopian,1949
Animal Farm,Allegory,1945
Down and Out in Paris and London,Memoir,1933
Homage to Catalonia,Non-fiction,1938
Burmese Days,Novel,1934
