order_line_id,order_id,order_status,date,productId,price,quantity
10668-9VYN74-2,10668-9VYN74,Cancelled,2016-07-12,210,100.33,1.00
10697-7GBN87-1,10697-7GBN87,Delivered,2017-01-05,310,39.35,1.00
10697-7GBN78-1,10697-7GBN87,Delivered,2017-01-08,310,39.35,5.00
10907-0TPH53-3,10907-0TPH53,Delivered,2015-03-28,220,50.40,1.00
10778-7INQ32-1,10778-7INQ32,Delivered,2018-02-08,230,78.40,1.00
10240-3SBQ40-3,10240-3SBQ40,Delivered,2017-01-07,160,21.49,2.00
10356-7ZBU60-1,10356-7ZBU60,Cancelled,2015-03-01,140,21.49,1.00
10700-0ACT49-1,10700-0ACT49,Returned,2019-02-20,150,21.82,1.00
10175-0YRN35-3,10175-0YRN35,Delivered,2015-04-11,150,19.15,3.00
10152-6HOB25-1,10152-6HOB25,Cancelled,2016-03-04,140,29.67,1.00
