sales_id,external_code,retail,season,category,color,image_path,fabric,release_date,restock,January,February,March,April,May,June,July,August,September,October,November,December
0,5,36,SS17,long sleeve,grey,PE17/00005.png,acrylic,2016-11-28,22,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
1,2,51,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-11-28,17,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
2,5,10,SS17,long sleeve,grey,PE17/00005.png,acrylic,2016-11-28,15,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
3,9,41,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-11-28,32,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4,5,13,SS17,long sleeve,grey,PE17/00005.png,acrylic,2016-11-28,26,1.0,2.0,4.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
5,5,41,SS17,long sleeve,grey,PE17/00005.png,acrylic,2016-11-28,15,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
6,2,41,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-11-28,19,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
7,2,36,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-11-28,15,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
8,8,10,SS17,long sleeve,green,PE17/00008.png,acrylic,2016-11-28,24,1.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
9,9,2,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-12-05,21,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
10,8,22,SS17,long sleeve,green,PE17/00008.png,acrylic,2016-12-05,15,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
11,5,56,SS17,long sleeve,grey,PE17/00005.png,acrylic,2016-12-05,18,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,5,3,SS17,long sleeve,grey,PE17/00005.png,acrylic,2016-12-05,63,4.0,7.0,5.0,8.0,1.0,3.0,5.0,2.0,3.0,2.0,0.0,0.0
13,2,16,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,32,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
14,2,13,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,17,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
15,9,19,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-12-05,50,2.0,2.0,3.0,3.0,8.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0
16,2,22,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,22,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
17,2,45,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,16,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
18,16,22,SS17,printed shirt,yellow,PE17/00016.png,tulle,2016-12-05,21,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0
19,2,24,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,25,3.0,1.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0
20,16,13,SS17,printed shirt,yellow,PE17/00016.png,tulle,2016-12-05,30,2.0,1.0,4.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0
21,2,47,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,42,1.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,0.0
22,2,38,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,43,3.0,1.0,2.0,3.0,4.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0
23,2,49,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,20,3.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0
24,2,19,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,92,3.0,4.0,10.0,6.0,13.0,1.0,2.0,3.0,3.0,8.0,2.0,1.0
25,5,22,SS17,long sleeve,grey,PE17/00005.png,acrylic,2016-12-05,33,1.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0
26,5,20,SS17,long sleeve,grey,PE17/00005.png,acrylic,2016-12-05,27,1.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0
27,2,43,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,26,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
28,9,1,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-12-05,29,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
29,11,18,SS17,short sleeves,green,PE17/00011.png,angora,2016-12-05,19,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0
30,9,22,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-12-05,23,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
31,4,28,SS17,long sleeve,yellow,PE17/00004.png,acrylic,2016-12-05,18,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
32,9,13,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-12-05,25,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,9,6,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-12-05,24,2.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0
34,16,26,SS17,printed shirt,yellow,PE17/00016.png,tulle,2016-12-05,46,1.0,5.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0
35,16,46,SS17,printed shirt,yellow,PE17/00016.png,tulle,2016-12-05,77,5.0,7.0,6.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0
36,16,4,SS17,printed shirt,yellow,PE17/00016.png,tulle,2016-12-05,28,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
37,16,63,SS17,printed shirt,yellow,PE17/00016.png,tulle,2016-12-05,21,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
38,9,3,SS17,culottes,yellow,PE17/00009.png,scuba crepe,2016-12-05,28,3.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0
39,2,40,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,20,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
40,2,5,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,25,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
41,2,39,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,14,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0
42,12,19,SS17,long sleeve,brown,PE17/00012.png,acrylic,2016-12-05,72,4.0,4.0,7.0,2.0,12.0,2.0,1.0,7.0,4.0,4.0,2.0,2.0
43,2,26,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,28,2.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
44,2,46,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,23,3.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0
45,7,48,SS17,long sleeve,brown,PE17/00007.png,acrylic,2016-12-05,23,3.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0
46,2,59,SS17,long sleeve,violet,PE17/00002.png,acrylic,2016-12-05,35,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,1.0,2.0,0.0
47,7,19,SS17,long sleeve,brown,PE17/00007.png,acrylic,2016-12-05,35,2.0,3.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
48,18,10,SS17,short cardigan,yellow,PE17/00018.png,angora,2016-12-05,11,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0
49,19,26,SS17,short cardigan,red,PE17/00019.png,angora,2016-12-05,10,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
50,19,19,SS17,short cardigan,red,PE17/00019.png,angora,2016-12-05,16,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
51,19,10,SS17,short cardigan,red,PE17/00019.png,angora,2016-12-05,9,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
52,7,3,SS17,long sleeve,brown,PE17/00007.png,acrylic,2016-12-05,45,3.0,6.0,9.0,3.0,3.0,2.0,8.0,1.0,1.0,1.0,1.0,0.0
53,7,12,SS17,long sleeve,brown,PE17/00007.png,acrylic,2016-12-05,25,4.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
54,38,10,SS17,short coat,black,PE17/00038.png,faux leather,2016-12-05,43,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
