location_id,name,location,country
36,Branch36,Genoa,Italy
51,Branch51,Verona,Italy
10,Branch10,Venice,Italy
41,Branch41,Naples,Italy
13,Branch13,Venice,Italy
2,Branch2,Milan,Italy
22,Branch22,Florence,Italy
56,Branch56,Naples,Italy
3,Branch3,Bologna,Italy
16,Branch16,Rome,Italy
19,Branch19,Palermo,Italy
45,Branch45,Naples,Italy
24,Branch24,Palermo,Italy
47,Branch47,Turin,Italy
38,Branch38,Turin,Italy
49,Branch49,Venice,Italy
20,Branch20,Verona,Italy
43,Branch43,Verona,Italy
1,Branch1,Venice,Italy
18,Branch18,Venice,Italy
28,Branch28,Bologna,Italy
6,Branch6,Palermo,Italy
26,Branch26,Milan,Italy
46,Branch46,Genoa,Italy
4,Branch4,Rome,Italy
63,Branch63,Florence,Italy
40,Branch40,Florence,Italy
5,Branch5,Turin,Italy
39,Branch39,Milan,Italy
48,Branch48,Florence,Italy
59,Branch59,Turin,Italy
12,Branch12,Florence,Italy
57,Branch57,Verona,Italy
9,Branch9,Rome,Italy
62,Branch62,Rome,Italy
8,Branch8,Milan,Italy
30,Branch30,Milan,Italy
0,Branch0,Turin,Italy
37,Branch37,Naples,Italy
61,Branch61,Bologna,Italy
54,Branch54,Florence,Italy
32,Branch32,Turin,Italy
35,Branch35,Rome,Italy
27,Branch27,Rome,Italy
14,Branch14,Turin,Italy
65,Branch65,Naples,Italy
64,Branch64,Genoa,Italy
42,Branch42,Turin,Italy
31,Branch31,Bologna,Italy
60,Branch60,Milan,Italy
66,Branch66,Milan,Italy
21,Branch21,Verona,Italy
52,Branch52,Rome,Italy
55,Branch55,Florence,Italy
58,Branch58,Palermo,Italy
23,Branch23,Genoa,Italy
50,Branch50,Turin,Italy
44,Branch44,Genoa,Italy
25,Branch25,Naples,Italy
11,Branch11,Bologna,Italy
7,Branch7,Florence,Italy
29,Branch29,Turin,Italy
33,Branch33,Naples,Italy
15,Branch15,Venice,Italy
17,Branch17,Verona,Italy
53,Branch53,Verona,Italy
69,Branch69,Florence,Italy
72,Branch72,Verona,Italy
73,Branch73,Rome,Italy
68,Branch68,Rome,Italy
75,Branch75,Genoa,Italy
82,Branch82,Genoa,Italy
78,Branch78,Palermo,Italy
84,Branch84,Venice,Italy
79,Branch79,Genoa,Italy
77,Branch77,Turin,Italy
85,Branch85,Genoa,Italy
86,Branch86,Naples,Italy
90,Branch90,Florence,Italy
81,Branch81,Verona,Italy
80,Branch80,Genoa,Italy
99,Branch99,Bologna,Italy
100,Branch100,Palermo,Italy
93,Branch93,Turin,Italy
83,Branch83,Florence,Italy
101,Branch101,Genoa,Italy
76,Branch76,Florence,Italy
102,Branch102,Venice,Italy
95,Branch95,Florence,Italy
74,Branch74,Verona,Italy
110,Branch110,Genoa,Italy
104,Branch104,Verona,Italy
107,Branch107,Florence,Italy
109,Branch109,Milan,Italy
67,Branch67,Naples,Italy
117,Branch117,Genoa,Italy
94,Branch94,Verona,Italy
89,Branch89,Palermo,Italy
88,Branch88,Bologna,Italy
92,Branch92,Genoa,Italy
91,Branch91,Naples,Italy
96,Branch96,Turin,Italy
121,Branch121,Verona,Italy
103,Branch103,Venice,Italy
115,Branch115,Rome,Italy
106,Branch106,Turin,Italy
125,Branch125,Rome,Italy
105,Branch105,Bologna,Italy
108,Branch108,Verona,Italy
87,Branch87,Verona,Italy
