product_id,category,fabric,color
5,long sleeve,acrylic,grey
2,long sleeve,acrylic,violet
9,culottes,scuba crepe,yellow
8,long sleeve,acrylic,green
16,printed shirt,tulle,yellow
11,short sleeves,angora,green
4,long sleeve,acrylic,yellow
12,long sleeve,acrylic,brown
7,long sleeve,acrylic,brown
18,short cardigan,angora,yellow
19,short cardigan,angora,red
38,short coat,faux leather,black
21,long sleeve,acrylic,grey
17,short sleeves,angora,red
23,miniskirt,faux leather,black
3,culottes,scuba crepe,blue
37,sheath dress,scuba crepe,black
15,short sleeves,angora,yellow
6,long sleeve,acrylic,grey
10,miniskirt,tulle,black
31,short sleeves,georgette,black
1,long sleeve,acrylic,violet
13,long sleeve,acrylic,green
22,long sleeve,acrylic,grey
58,long sleeve,faux leather,black
55,culottes,scuba crepe,grey
53,long sleeve,fur,black
24,short sleeves,angora,green
35,culottes,crepe,black
56,culottes,scuba crepe,black
36,long sleeve,tulle,black
48,medium coat,crepe,black
28,solid color top,tulle,yellow
29,solid color top,tulle,black
44,solid color top,tulle,black
45,solid color top,tulle,violet
61,long dress,tulle,black
52,short sleeves,tulle,yellow
27,short sleeves,angora,red
51,long dress,silky satin,black
68,short coat,faux leather,red
69,long dress,silky satin,red
46,culottes,satin cotton,black
60,culottes,scuba crepe,black
73,sleeveless,lace,black
62,long sleeve,crepe,black
72,sheath dress,lace,black
67,short coat,faux leather,black
87,culottes,cotton,grey
94,culottes,cotton,green
75,culottes,cotton,red
128,sleeveless,nice,black
112,long sleeve,nice,brown
113,long sleeve,nice,black
84,culottes,scuba crepe,black
107,culottes,scuba crepe,black
82,short sleeves,lace,black
99,trapeze dress,scuba crepe,green
95,short sleeves,lace,green
100,long sleeve,acrylic,brown
74,culottes,cotton,black
117,culottes,jacquard,black
81,culottes,georgette,black
76,long sleeve,georgette,black
111,short coat,faux leather,brown
102,culottes,bengaline,black
83,long sleeve,nice,green
104,long sleeve,nice,black
118,long sleeve,scuba crepe,black
116,long sleeve,plush,grey
127,long sleeve,scuba crepe,grey
80,short sleeves,nice,black
86,solid color top,lurex,grey
137,solid color top,georgette,black
141,culottes,jacquard,brown
114,long sleeve,acrylic,grey
146,doll dress,scuba crepe,black
91,long sleeve,nice,yellow
142,solid color top,georgette,violet
106,culottes,crepe,black
140,long sleeve,georgette,yellow
139,solid color top,matte jersey,white
149,miniskirt,technical,black
135,long sleeve,technical,black
97,sleeveless,nice,brown
155,sheath dress,technical,black
90,long sleeve,georgette,white
126,solid color top,matte jersey,black
132,culottes,technical,black
134,short sleeves,georgette,white
115,sleeveless,crepe,black
143,long sleeve,georgette,green
129,solid color top,acrylic,black
133,solid color top,acrylic,grey
138,sleeveless,scuba crepe,brown
153,sleeveless,scuba crepe,yellow
195,solid color top,angora,grey
174,culottes,light jeans,blue
89,sleeveless,lace,black
152,solid color top,matte jersey,blue
181,printed shirt,georgette,white
165,culottes,bengaline,black
193,patterned top,angora,violet
198,solid color top,angora,green
184,short coat,faux leather,black
200,solid color top,matte jersey,red
171,solid color top,matte jersey,blue
169,culottes,jacquard,grey
150,solid color top,georgette,green
159,solid color top,matte jersey,black
175,printed shirt,georgette,white
163,solid color top,matte jersey,red
164,trapeze dress,cady,black
