product_id,location_id,price,date_of_sale
3818,19,87.4,2019-02-04
842,21,27.1,2017-06-05
955,64,64.7,2017-08-28
4420,13,73.8,2019-09-09
2388,1,14.6,2018-06-04
2401,57,23.8,2018-05-28
5296,19,49.1,2019-06-10
3006,39,23.9,2018-10-15
165,18,97.2,2017-01-30
1963,30,96.0,2018-03-19
2440,0,35.1,2018-05-07
2227,69,95.7,2018-04-30
3160,82,49.3,2018-11-05
5500,61,33.9,2019-11-18
4036,45,12.5,2019-03-18
2564,25,50.4,2018-07-02
3008,36,88.5,2018-09-17
5388,56,28.1,2019-11-25
1543,73,55.9,2017-11-13
5085,104,78.6,2019-05-13
3588,8,30.7,2018-12-03
3929,5,53.8,2019-03-18
2330,26,31.4,2018-06-11
1999,3,33.7,2018-03-19
4939,84,42.4,2019-11-11
2061,36,41.4,2018-04-09
3440,20,38.5,2018-12-10
3233,10,31.7,2018-10-22
4026,0,51.6,2019-03-25
2555,42,10.0,2018-07-30
884,41,34.5,2017-07-24
4880,36,95.2,2019-10-14
4062,86,71.6,2019-04-22
669,20,37.2,2017-04-17
5375,75,20.8,2019-12-16
797,44,79.5,2017-06-19
1172,22,29.3,2017-08-28
2515,25,63.7,2018-08-06
3742,72,47.7,2019-02-18
2327,75,6.8,2018-05-07
1462,27,56.8,2017-12-25
4063,19,90.9,2019-04-01
5127,46,3.3,2019-05-27
4530,12,73.0,2019-09-16
2173,30,95.6,2018-04-02
4359,77,83.5,2019-07-08
3506,65,10.6,2019-01-07
4662,80,46.4,2019-11-11
4173,65,17.5,2019-04-15
5304,46,62.9,2019-07-15
4151,21,71.8,2019-04-08
3762,12,60.6,2019-01-28
3622,5,36.0,2018-12-31
4290,19,19.3,2019-06-24
5279,50,40.1,2019-07-22
4705,30,23.3,2019-09-09
3299,68,16.3,2018-12-17
797,63,33.8,2017-05-15
4386,95,23.9,2019-08-05
1281,65,31.2,2017-10-23
1675,36,5.8,2017-11-27
1633,3,27.0,2017-10-30
3974,82,57.1,2019-03-25
5053,51,55.1,2019-10-21
1608,4,70.9,2017-11-20
3348,51,98.1,2018-10-22
5475,21,67.6,2020-02-10
5318,46,11.8,2019-07-08
1729,9,62.6,2017-11-27
3456,30,76.1,2018-11-19
5200,19,22.5,2019-05-20
716,17,58.0,2017-07-17
1590,4,32.7,2017-10-30
2883,69,26.6,2018-08-13
4547,92,68.0,2019-09-30
2561,75,98.2,2018-07-09
4762,82,87.7,2019-12-23
5455,93,25.5,2020-01-27
3457,82,31.5,2018-11-19
5533,13,38.5,2019-12-16
2565,41,22.5,2018-06-25
5408,90,59.4,2020-01-27
2488,5,21.2,2018-06-04
2911,84,74.8,2018-09-17
1188,12,8.7,2017-08-28
320,3,70.7,2017-03-27
3172,2,42.8,2018-11-05
2003,29,49.2,2018-03-05
5252,4,22.5,2019-07-29
1937,61,82.3,2018-02-19
4165,46,47.6,2019-05-27
2248,18,54.3,2018-05-07
1381,12,3.4,2017-11-06
1150,0,31.9,2017-10-30
468,8,10.2,2017-05-22
3313,30,80.3,2018-12-24
1887,40,71.9,2018-02-05
1999,68,83.2,2018-02-26
946,5,66.0,2017-05-22
3395,59,43.5,2019-01-21
3507,83,75.1,2018-12-17
2508,44,64.5,2018-07-16
4562,89,10.6,2019-09-16
4335,74,90.4,2019-07-01
1937,33,19.2,2018-03-26
4576,12,63.3,2019-09-23
3253,45,79.8,2018-11-12
1355,56,12.1,2017-10-30
756,2,41.9,2017-06-26
951,38,73.5,2017-07-17
1586,18,90.1,2017-10-23
2954,82,40.1,2018-09-17
2584,36,43.8,2018-07-09
134,19,64.5,2017-03-06
3176,65,28.7,2018-12-10
5413,84,20.0,2019-11-04
5498,39,54.6,2019-12-02
4198,67,71.8,2019-04-15
1273,47,79.5,2017-10-23
4440,75,4.5,2019-07-29
2848,12,9.4,2018-08-27
3823,28,69.7,2019-03-11
4788,43,31.8,2019-10-14
313,24,89.5,2017-04-24
2714,12,96.8,2018-06-25
4192,68,45.2,2019-04-22
4165,4,88.5,2019-05-13
5309,76,82.2,2019-06-17
2914,69,33.6,2018-08-27
4597,15,3.7,2019-10-14
2174,18,62.3,2018-05-07
774,35,23.5,2017-06-05
5414,1,11.7,2019-11-11
5195,18,33.1,2019-05-20
1028,56,97.8,2017-09-18
740,13,91.6,2017-07-10
3584,82,16.4,2019-02-18
2242,65,84.8,2018-04-09
4900,6,33.9,2019-12-09
5218,69,75.5,2019-08-05
3322,32,9.2,2018-11-05
3814,15,25.3,2019-01-28
