product_id,location_id,price,date_of_sale
5,36,4.2,2016-11-28
2,51,66.3,2016-11-28
5,10,86.4,2016-11-28
9,41,72.5,2016-11-28
5,13,82.8,2016-11-28
5,41,86.9,2016-11-28
2,41,44.2,2016-11-28
2,36,16.5,2016-11-28
8,10,78.7,2016-11-28
9,2,45.0,2016-12-05
8,22,97.0,2016-12-05
5,56,76.5,2016-12-05
5,3,5.4,2016-12-05
2,16,10.3,2016-12-05
2,13,96.0,2016-12-05
9,19,49.4,2016-12-05
2,22,70.5,2016-12-05
2,45,32.0,2016-12-05
16,22,16.1,2016-12-05
2,24,83.6,2016-12-05
16,13,31.4,2016-12-05
2,47,35.0,2016-12-05
2,38,47.4,2016-12-05
2,49,21.3,2016-12-05
2,19,14.7,2016-12-05
5,22,60.9,2016-12-05
5,20,98.5,2016-12-05
2,43,31.0,2016-12-05
9,1,7.1,2016-12-05
11,18,9.7,2016-12-05
9,22,56.3,2016-12-05
4,28,14.1,2016-12-05
9,13,48.8,2016-12-05
9,6,5.1,2016-12-05
16,26,99.8,2016-12-05
16,46,34.1,2016-12-05
16,4,9.6,2016-12-05
16,63,31.4,2016-12-05
9,3,66.8,2016-12-05
2,40,31.3,2016-12-05
2,5,62.2,2016-12-05
2,39,41.7,2016-12-05
12,19,81.0,2016-12-05
2,26,1.7,2016-12-05
2,46,23.2,2016-12-05
7,48,49.8,2016-12-05
2,59,13.6,2016-12-05
7,19,34.1,2016-12-05
18,10,6.4,2016-12-05
19,26,2.2,2016-12-05
19,19,60.3,2016-12-05
19,10,91.6,2016-12-05
7,3,26.5,2016-12-05
7,12,39.3,2016-12-05
38,10,60.8,2016-12-05
21,3,36.2,2016-12-05
8,57,52.0,2016-12-05
8,9,55.1,2016-12-05
8,3,26.6,2016-12-05
8,59,6.7,2016-12-05
8,13,70.9,2016-12-05
7,2,85.2,2016-12-05
2,10,78.0,2016-12-05
7,22,79.0,2016-12-05
17,26,1.9,2016-12-05
2,18,48.2,2016-12-05
9,62,29.8,2016-12-05
2,8,41.8,2016-12-05
23,13,15.9,2016-12-05
7,46,23.9,2016-12-05
7,36,23.8,2016-12-05
9,30,42.1,2016-12-05
7,47,68.3,2016-12-05
21,48,18.1,2016-12-05
