product_id,location_id,stock,valid_day
134,39,5,2017-04-17
426,2,6,2017-03-06
1388,28,2,2017-09-18
448,55,2,2017-03-27
2348,54,2,2018-06-18
1506,40,10,2017-10-02
5374,52,2,2020-01-06
1002,48,2,2017-06-26
2491,49,5,2018-06-11
4407,9,2,2019-08-05
2065,23,4,2018-02-05
3977,87,5,2019-02-25
174,0,1,2017-02-13
4380,99,10,2019-09-09
87,30,8,2017-01-02
4658,0,5,2019-08-26
5341,104,3,2019-10-28
5366,3,2,2019-11-18
4192,69,21,2019-04-15
3984,82,7,2019-04-01
4661,52,1,2019-09-02
5304,35,14,2019-05-20
1832,20,15,2017-12-18
2274,52,8,2018-03-26
5176,100,2,2019-05-13
2369,23,5,2018-04-16
2564,12,9,2018-06-11
1822,40,3,2017-12-25
1718,48,7,2017-11-06
1506,56,11,2017-11-06
1924,7,10,2017-12-18
1539,21,8,2017-10-02
183,36,2,2017-03-06
5552,107,3,2020-01-06
5134,22,8,2019-04-22
12,51,4,2016-12-12
2727,12,2,2018-07-02
4755,57,2,2019-10-14
3344,79,1,2018-11-05
4410,8,7,2019-07-01
2947,52,5,2018-08-13
2661,22,10,2018-06-04
645,44,1,2017-06-05
877,7,1,2017-06-12
4236,35,3,2019-05-27
3612,47,11,2018-12-10
4217,61,1,2019-05-20
5207,94,8,2019-06-03
5551,1,8,2019-12-16
4292,42,3,2019-07-08
3890,13,5,2019-02-04
936,46,10,2017-06-12
5259,89,8,2019-05-13
837,40,5,2017-05-01
1684,4,8,2017-11-06
753,56,3,2017-05-22
3618,29,2,2019-02-04
1854,10,1,2018-01-15
4891,99,12,2019-09-30
702,20,7,2017-04-10
1006,22,9,2017-07-10
5394,87,1,2021-10-18
2882,72,5,2018-08-13
62,57,2,2017-01-23
1999,54,9,2018-04-16
4247,92,3,2019-07-08
4316,19,6,2019-06-10
3059,20,8,2018-09-03
1840,68,9,2017-12-04
3429,26,1,2018-11-19
3272,8,9,2019-02-11
2561,59,1,2018-06-18
953,12,13,2017-05-15
1637,30,15,2017-12-18
799,15,10,2017-05-29
4100,52,1,2019-04-22
3101,16,1,2018-10-01
2343,14,1,2018-05-14
3747,43,3,2019-02-11
3371,30,2,2018-12-03
3591,76,1,2018-12-10
4724,68,2,2019-10-21
4213,16,3,2019-04-15
3165,56,2,2018-10-01
17,43,6,2016-11-28
2477,41,4,2018-05-07
709,35,1,2017-05-15
3328,80,8,2018-10-15
3505,49,10,2018-11-19
3320,12,10,2018-10-15
2449,66,11,2018-04-23
4190,22,12,2019-04-01
5368,107,3,2019-12-16
2208,79,8,2018-04-09
5415,63,5,2019-11-04
5030,5,2,2019-11-11
4760,59,6,2019-09-16
256,54,5,2017-02-06
1392,43,2,2018-01-22
4159,35,5,2019-08-05
58,40,1,2017-02-20
5014,10,6,2019-11-04
1290,3,2,2017-09-25
2495,15,18,2018-04-30
4265,14,7,2019-06-03
4801,32,8,2019-09-16
3913,101,4,2019-03-25
2640,86,10,2018-05-28
1691,10,6,2017-11-06
5094,65,1,2019-04-22
4497,90,2,2019-08-26
2475,36,20,2018-07-09
189,39,5,2017-01-16
114,49,4,2017-01-09
4971,102,2,2019-11-11
2178,28,7,2018-02-26
2651,69,3,2018-06-25
563,47,9,2017-03-27
2910,25,1,2018-10-01
1008,15,2,2017-07-03
4980,125,3,2019-10-21
4566,40,4,2019-08-05
5326,47,7,2019-05-20
5398,49,5,2019-11-04
1700,43,6,2017-11-06
1213,47,10,2017-09-11
4339,102,2,2020-07-13
111,9,1,2017-02-06
2355,72,14,2018-04-23
5273,22,1,2019-05-20
2420,44,5,2018-04-23
734,0,4,2017-05-08
4749,77,2,2019-09-16
472,6,2,2017-04-10
4571,100,7,2019-08-05
239,43,5,2017-02-06
3725,16,1,2019-01-14
2563,40,5,2018-05-14
1028,26,4,2017-07-10
2766,83,3,2018-11-19
3903,80,21,2019-02-11
100,36,5,2017-01-09
2385,17,5,2018-04-09
3123,53,8,2018-09-17
4414,90,6,2019-07-01
3533,86,8,2018-11-19
2880,3,2,2018-09-24
3716,24,1,2019-01-14
5157,90,6,2019-04-29
16,51,8,2016-11-28
3448,81,5,2018-11-19
1510,33,2,2017-10-23
5090,66,1,2019-05-13
4990,82,5,2019-10-07
4797,3,2,2019-09-30
5086,76,3,2019-04-29
867,2,5,2017-07-10
2008,30,2,2018-04-16
677,31,4,2017-04-10
4231,40,5,2019-04-08
4587,121,4,2019-11-25
3207,36,4,2018-12-03
4252,72,4,2019-07-01
3618,53,4,2018-12-31
1436,42,5,2017-09-11
1746,21,1,2017-11-27
1706,65,1,2017-12-04
1993,25,6,2018-01-22
1303,56,8,2017-08-28
4518,95,4,2019-07-29
4374,74,5,2019-06-24
668,16,1,2017-05-01
1384,14,1,2018-02-26
5317,93,4,2019-06-17
2635,22,12,2018-06-25
4855,87,6,2019-09-23
1491,19,16,2017-09-25
716,51,2,2017-05-01
2836,20,2,2018-09-24
1633,22,5,2017-10-16
5060,2,1,2019-11-04
5441,20,3,2019-11-25
5382,90,2,2019-12-09
770,47,6,2017-06-26
4589,60,5,2019-08-05
1995,69,1,2018-03-19
5309,28,14,2019-07-01
4053,53,5,2019-04-29
1435,50,5,2017-09-11
830,38,1,2017-06-05
5554,49,6,2019-12-02
1831,69,6,2017-12-04
316,61,5,2017-02-13
932,14,8,2017-05-15
4629,30,10,2019-08-12
1939,73,4,2018-02-05
839,7,2,2017-05-22
2186,20,8,2018-03-05
3399,13,12,2019-01-14
1760,30,8,2017-11-13
5180,68,19,2019-06-24
2704,20,25,2018-07-23
4482,40,5,2019-07-22
5164,59,2,2019-05-06
3944,53,4,2019-02-18
4417,41,5,2019-07-01
3792,41,5,2019-01-14
4631,77,1,2019-10-21
4629,88,8,2019-08-12
4781,69,2,2019-09-23
4331,102,5,2019-06-24
5339,10,9,2019-10-28
2849,51,6,2018-07-23
5089,27,5,2019-04-15
2454,14,4,2018-06-11
3543,85,8,2018-11-19
4050,15,5,2019-04-15
3571,9,1,2018-12-10
2571,65,1,2018-06-25
1585,24,8,2017-10-09
1193,12,10,2017-08-07
1537,18,2,2017-12-04
1055,24,2,2018-01-29
1936,21,4,2018-02-19
3511,82,8,2018-11-19
2093,13,1,2018-03-05
2121,20,2,2018-03-05
4532,7,7,2019-08-26
3798,12,4,2019-07-22
3990,10,10,2019-02-25
4314,8,4,2019-06-17
1532,46,3,2017-10-16
790,46,4,2017-05-22
4380,74,7,2019-09-09
4564,2,1,2019-10-07
2709,86,8,2018-06-18
2284,20,7,2018-04-16
4148,80,2,2019-04-15
4207,30,3,2019-05-06
1358,18,3,2017-10-02
559,61,1,2017-05-15
4562,53,2,2020-01-13
4832,16,8,2019-09-16
4482,86,4,2019-08-26
3929,80,11,2019-06-03
4174,4,5,2019-04-08
820,42,7,2017-05-29
5483,68,4,2019-11-18
2769,3,2,2019-07-15
4104,24,5,2019-03-18
1529,52,1,2017-11-20
721,18,15,2017-04-17
1306,57,2,2017-10-02
111,31,8,2017-03-06
4985,38,2,2019-12-16
3438,19,6,2018-11-12
3260,19,13,2018-10-01
324,59,2,2017-03-20
5315,11,5,2019-05-20
2953,63,3,2018-09-17
5174,85,6,2019-04-29
838,40,2,2017-06-26
5193,82,6,2019-05-06
1167,20,1,2017-08-14
3296,79,5,2018-10-08
247,18,1,2017-02-20
541,49,3,2017-05-15
4298,85,4,2019-07-08
4933,60,7,2019-10-14
5082,101,5,2019-04-15
4377,41,10,2019-07-08
3890,48,2,2019-02-25
191,22,10,2017-06-19
3206,47,8,2018-10-01
2878,10,8,2018-07-30
1409,64,6,2017-09-18
3097,8,4,2018-10-22
3933,69,4,2019-05-27
3474,1,1,2018-12-17
203,27,4,2017-01-30
3947,3,8,2019-02-18
2028,15,8,2018-01-29
1552,51,1,2017-11-13
727,32,2,2017-06-19
720,1,3,2017-05-15
4766,62,5,2019-09-09
1230,43,3,2017-09-04
5009,69,3,2019-10-21
4936,49,2,2019-11-11
4752,11,3,2019-10-21
870,26,3,2017-06-26
4975,39,4,2019-11-25
2830,77,2,2018-09-03
2704,30,6,2018-07-23
4359,20,3,2019-07-08
2484,7,12,2018-04-30
4144,94,7,2019-03-25
2428,41,13,2018-04-23
4843,36,1,2019-10-28
2449,12,11,2018-05-28
4301,64,6,2019-06-10
567,37,8,2017-03-27
4203,81,3,2019-04-29
2950,32,4,2018-08-20
1242,12,2,2017-10-16
4338,65,5,2019-06-17
5225,36,4,2019-06-10
2830,48,2,2018-08-20
2393,7,6,2018-05-07
1233,53,8,2017-08-21
1664,8,12,2017-11-13
645,9,6,2017-05-22
2625,2,6,2018-05-28
838,46,11,2017-07-10
2988,95,4,2019-01-07
1555,16,5,2017-10-09
902,7,10,2017-05-15
1929,24,16,2018-01-08
5087,5,1,2019-04-22
2832,3,1,2018-08-20
3593,9,8,2018-12-03
97,65,2,2017-06-26
4788,101,4,2019-09-16
3122,30,5,2018-10-08
4101,85,7,2019-03-18
417,63,1,2017-03-20
4900,20,5,2019-09-23
4727,45,2,2019-09-30
4194,47,11,2019-05-20
2907,44,5,2018-09-10
3320,80,3,2019-07-15
1493,27,5,2017-11-13
5184,30,1,2019-05-06
2109,40,2,2018-02-26
3503,90,5,2018-11-12
3758,73,8,2019-01-07
5348,4,5,2019-10-28
5113,72,5,2019-06-17
1778,17,5,2017-11-20
4809,101,1,2019-10-07
4500,12,8,2019-08-12
4095,20,6,2019-03-18
4586,42,6,2019-08-05
4950,33,3,2019-12-02
1605,35,2,2017-12-04
